id,owner,source_uri,field_operator,scrape_id,capacity,operator,rig_id,name,scrape_date,site,location_field,country,detail_uri,rated_water_depth,manager,drilling_depth,rig_type,top drive,rig design,current_water_depth,region,derrick,rig_design,rotary table,mud pumps,ship_type,flag,operating_status,competitive_rig,drawworks,delivery year,classification,shipyard
291,Atwood Oceanics,http://www.rigzone.com/data/results.asp?P=1&Region_ID=10,,BoLCtXbc,,CNOOC (NOC),Elizabeth C,Elizabeth C,2014-09-18 19:15:55.090026,Rigzone -- full,,Equatorial Guinea,http://www.rigzone.com/data/offshore_drilling_rigs/771/Jackup/Axxis_Petroconsultants/Elizabeth_C,300 ft.,Axxis Petroconsultants,20000 ft.,Jackup,"Varco TDS-4S, 1100 HP",Korkut Engineers Korkut Enhanced New Era,"3,517 ft",Africa - West,"Pyramid 185' x 40' x 40'; Capacity: 1,200,000 lbs",Korkut Engineers Korkut Enhanced New Era,National Oilwell 49.5 in. diameter Driven by GE 752 electric motor,"3 x National Oilwell A-1700-PT triplex Each driven by two GE 752 DC motors, 1600 HP",Semisub,Marshall Islands,Drilling,Yes,"National Oilwell E-3000 3,000 HP",1981,ABS,Alabama Maritime Mobile Ala
292,Axxis Petroconsultants,http://www.rigzone.com/data/results.asp?P=1&Region_ID=10,,BoLCtXbc,,--,Ocean Confidence,Ocean Confidence,2014-09-18 19:15:55.090026,Rigzone -- full,,Nigeria,http://www.rigzone.com/data/offshore_drilling_rigs/569/Semisub/Diamond_Offshore/Ocean_Confidence,10000 ft.,Diamond Offshore,35000 ft.,Semisub,"Varco TDS-3 Powered by GE 752 dc motor, 500 ton, 5000 psi, 1000 HP",Levingston Class 111-C,--,Africa - West,"Dreco 147' x 30' x 30'; Capacity: 1,000,000 lbs",Levingston Class 111-C,National 37.5 in. diameter Model C-375 650 ton rating; powered by EMD D-79-MB electric motor; master bushing Varco model MPCH; Kelly bushing Varco 27 HDP for 5.25 inch API hexagonal kelly,"2 x National Oilwell 12-P-160 Each powered by two EMD D-79-MB dc motor; pulsation dampener Hydril model K-20-5000; super charging pump Mission model 6in x 8in R, 1600 HP",Jackup,Liberia,Ready Stacked,Yes,"National Oilwell 1625-DE 2,000 HP",1983,ABS,Rio de Janeiro Brazil
293,Diamond Offshore,http://www.rigzone.com/data/results.asp?P=1&Region_ID=10,,BoLCtXbc,,--,Ocean Valiant,Ocean Valiant,2014-09-18 19:15:55.090026,Rigzone -- full,,Spain,http://www.rigzone.com/data/offshore_drilling_rigs/607/Semisub/Diamond_Offshore/Ocean_Valiant,6000 ft.,Diamond Offshore,30000 ft.,Semisub,Varco TDS-6S 750 ton W/PH-85H pipe handler,Aker H-3.2 Enhanced,--,Africa - West,"Pyramid 170' x 50' x 50'; Capacity: 2,000,000 lbs",Aker H-3.2 Enhanced,Varco 60.5 in. diameter Model BJ RST 1000 ton; Top of Rotary Table to Bottom of Barge 163 Ft.,"4 x Continental Emsco FC-2200 triplex 7500psi, 2200 HP",Semisub,Marshall Islands,Modification,Yes,"Continental Emsco EH-V 5,000 HP",2001,ABS,"Tdi-Halter Sabine Pass, TX"
294,Diamond Offshore,http://www.rigzone.com/data/results.asp?P=1&Region_ID=10,,BoLCtXbc,,--,Bolette Dolphin,Bolette Dolphin,2014-09-18 19:15:55.090026,Rigzone -- full,,Spain,http://www.rigzone.com/data/offshore_drilling_rigs/1699/Drillship/Dolphin_Drilling/Bolette_Dolphin,12000 ft.,Dolphin Drilling,40000 ft.,Drillship,"Varco TDS-4S  w/PH-85 pipe handler, 1000 HP",Odeco Ocean Odyssey,--,Africa - West,"Derrick Services Limited 185' x 40' x 40'; Capacity: 1,500,000 lbs",Odeco Ocean Odyssey,Continental Emsco 49.5 in. diameter Model T-495 driven by water cooled electric motors; Top of Rotary Table to Bottom of Barge 166 Ft.,"3 x Continental Emsco FB-1600, 1750 HP",Semisub,Marshall Islands,Ready Stacked,Yes,"Continental Emsco C-3-ll 3,000 HP",1988,ABS,"Hyundai, Ulsan, Korea"
295,Fred Olsen Energy,http://www.rigzone.com/data/results.asp?P=1&Region_ID=10,,BoLCtXbc,,Anadarko,Setty,Setty,2014-09-18 19:15:55.090026,Rigzone -- full,,Cote d'Ivoire,http://www.rigzone.com/data/offshore_drilling_rigs/1578/Jackup/Egyptian_Drilling/Setty,375 ft.,Egyptian Drilling,30000 ft.,Jackup,"NOV TDX-1250 TDX-1250 over main rotary, TDS-8SA over auxiliary rotary., 2680 HP",GustoMSC Gusto P10000,"4,975 ft",Africa - West,"NOV 210' x 80' x 60'; Capacity: 2,500,000 lbs",GustoMSC Gusto P10000,"75.5 in. diameter 75.5"" at main rotary. 60.5"" at auxiliary rotary.","5 x NOV 14-P-220 7500psi WP, 2200 HP",Drillship,Singapore,Drilling,Yes,"9,000 HP",2014,DNV,"Hyundai Heavy Industries, South Korea"
296,Egyptian Drilling,http://www.rigzone.com/data/results.asp?P=1&Region_ID=10,,BoLCtXbc,,Total,Energean Force,Energean Force,2014-09-18 19:15:55.090026,Rigzone -- full,,Gabon,http://www.rigzone.com/data/offshore_drilling_rigs/27/Tender/Energean_Oil__Gas_SA/Energean_Force,656 ft.,Energean Oil & Gas SA,20000 ft.,Tender,"CanRig 1275 AC, 1150 HP",Baker Marine Services BMC Pacific Class 375,--,Africa - West,"Loadmaster 160' x 35' x 35'; Capacity: 1,500,000 lbs",Baker Marine Services BMC Pacific Class 375,NOV 49.5 in. diameter Model D-495,"3 x Eweco E-2200, 7500 HP",Jackup,Panama,Drilling,Yes,"Sense EDM 750 3,000 HP",2010,ABS,"PPL Shipyard, Singapore"
297,Energean Oil & Gas SA,http://www.rigzone.com/data/results.asp?P=1&Region_ID=10,,BoLCtXbc,,--,ENSCO 6000,ENSCO 6000,2014-09-18 19:15:55.090026,Rigzone -- full,,Ghana,http://www.rigzone.com/data/offshore_drilling_rigs/799/Semisub/ENSCO/ENSCO_6000,4000 ft.,ENSCO,12000 ft.,Semisub,"Varco TDS-4S Complete with wireline adapter, 5000psi WP, 1100 HP",Foramer Compact Tender; Self Erecting,--,Africa - West,"ENFAB 152' x 22' x 18'; Capacity: 1,000,000 lbs",Foramer Compact Tender; Self Erecting,National 37.5 in. diameter Model C-375 500 ton capacity due to rotary support beams.  Powered by one GE 752 1000hp electric motor.,"2 x Continental Emsco FB-1600 triplex 5000psi WP, powered by two GE 752 DC electric motors., 1600 HP;
1 x Continental Emsco F-1600 5000psi WP, powered by two GE 752 DC electric motors., 1600 HP",Tender,Singapore,Ready Stacked,No,"National Oilwell 1320-UE 2,000 HP",1994,BV,"Sabah, Malaysia"
298,ENSCO,http://www.rigzone.com/data/results.asp?P=1&Region_ID=10,,BoLCtXbc,,--,ENSCO 7500,ENSCO 7500,2014-09-18 19:15:55.090026,Rigzone -- full,,Spain,http://www.rigzone.com/data/offshore_drilling_rigs/210/Semisub/ENSCO/ENSCO_7500,8000 ft.,ENSCO,35000 ft.,Semisub,CanRig 1165E,DeHoop Amethyst,--,Africa - West,"Bailey 147' x 30' x 30'; Capacity: 800,000 lbs",DeHoop Amethyst,Oilwell 49.5 in. diameter Independent drive,"2 x Continental Emsco F-1000 triplex, 1000 HP",Semisub,Vanuatu,Cold Stacked,No,Oilwell 760E,1986,Lloyds,""
299,ENSCO,http://www.rigzone.com/data/results.asp?P=1&Region_ID=10,,BoLCtXbc,,--,ENSCO DS-1,ENSCO DS-1,2014-09-18 19:15:55.090026,Rigzone -- full,,Spain,http://www.rigzone.com/data/offshore_drilling_rigs/764/Drillship/ENSCO/ENSCO_DS1,10000 ft.,ENSCO,31500 ft.,Drillship,"Varco TDS-4H (750 Ton) 7 1/2 KPSI, GE 753",ENSCO 7500,--,Africa - West,"Dreco 170' x 46' x 40'; Capacity: 1,500,000 lbs",ENSCO 7500,Varco 60.5 in. diameter Model RST 605 Hydraulic 1000 Ton,"3 x National 14-P-220 triplex, 2200 HP;
1 x LEWCO w-446 A/C Riser Booster, 400 HP",Semisub,Liberia,Ready Stacked,Yes,"National 1625-UDBE 3,000 HP",2000,ABS,"Tdi-Halter, Orange, TX"
300,ENSCO,http://www.rigzone.com/data/results.asp?P=1&Region_ID=10,,BoLCtXbc,,Total,ENSCO DS-2,ENSCO DS-2,2014-09-18 19:15:55.090026,Rigzone -- full,,Angola,http://www.rigzone.com/data/offshore_drilling_rigs/767/Drillship/ENSCO/ENSCO_DS2,10000 ft.,ENSCO,31500 ft.,Drillship,"CanRig AC-1275-681 hoisting rated capacity 680 mt, drilling rated capacity 544 mt, 51,400 ft.lbs at 120 rpm, swivel 7,500 psi WP",Gusto Engineering Gusto 10000,--,Africa - West,"Joseph Paris 180' x 48' x 48'; Capacity: 1,660,000 lbs; Hook + Setback: 1,598,351 lbs",Gusto Engineering Gusto 10000,National 60.5 in. diameter Model D-605,"4 x National Oilwell 12-P-160 5,000psi WP, 1600 HP",Drillship,Marshall Islands,Drilling,Yes,"Dreco SSGB-750 4,600 HP",1999,DNV,"Hyundai, Ulsan, South Korea Mipo Dockyard"
388,,http://www.rigzone.com/data/results.asp?P=3&Region_ID=10,,BoLCtXbc,,,Tungsten Explorer,Tungsten Explorer,2014-09-18 19:15:55.090026,Rigzone -- full,,,http://www.rigzone.com/data/offshore_drilling_rigs/1709/Drillship/Vantage_Drilling/Tungsten_Explorer,12000 ft.,Vantage Drilling,40000 ft.,Drillship,,,,,,,,,,,,,,,,
301,ENSCO,http://www.rigzone.com/data/results.asp?P=1&Region_ID=10,,BoLCtXbc,,Total,ENSCO DS-6,ENSCO DS-6,2014-09-18 19:15:55.090026,Rigzone -- full,,Angola,http://www.rigzone.com/data/offshore_drilling_rigs/1582/Drillship/ENSCO/ENSCO_DS6,12000 ft.,ENSCO,40000 ft.,Drillship,CanRig 1265-E 650 ton,Gusto Engineering Gusto 10000,"4,163 ft",Africa - West,"Joseph Paris 180' x 48' x 48'; Capacity: 1,660,000 lbs",Gusto Engineering Gusto 10000,National 60.5 in. diameter Model D-605,"3 x National Oilwell 14-P-220 7,500psi WP, 2200 HP",Drillship,Marshall Islands,Drilling,Yes,"National SSGD-750 4,400 HP",2000,DNV,"Hyundai, Ulsan, South Korea"
302,ENSCO,http://www.rigzone.com/data/results.asp?P=1&Region_ID=10,,BoLCtXbc,,BP,ENSCO DS-7,ENSCO DS-7,2014-09-18 19:15:55.090026,Rigzone -- full,,Angola,http://www.rigzone.com/data/offshore_drilling_rigs/1651/Drillship/ENSCO/ENSCO_DS7,12000 ft.,ENSCO,40000 ft.,Drillship,"NOV HPS-1000-2E-AC 1000 t capacity, driven by 2 GEB20B AC motors, incl 115000 ft/lbs pipe handler",Samsung hull design,--,Africa - West,"NOV 200' x 80' x 60'; Capacity: 2,000,000 lbs",Samsung hull design,"NOV 60.5 in. diameter Model RST 1000 t capacity, (1) only hydraulic driven","4 x NOV 14-P-220 Triplex, belt driven ea by 2 GEB22A3 AC motors",Drillship,Marshall Islands,Drilling,Yes,NOV SSGD-5750,2012,ABS,"Samsung, Geoje, South Korea"
303,ENSCO,http://www.rigzone.com/data/results.asp?P=1&Region_ID=10,,BoLCtXbc,,Total,GSP Magellan,GSP Magellan,2014-09-18 19:15:55.090026,Rigzone -- full,,Angola,http://www.rigzone.com/data/offshore_drilling_rigs/330/Jackup/GSP/GSP_Magellan,350 ft.,GSP,30000 ft.,Jackup,"NOV TDX-1250 Main Well: TDX-1250, 1133mT capacity. Auxiliary Well: HPS-1000-2E-AC-KT, 907mT capacity, 2680 HP",Samsung Samsung ABS A1 E,"4,249 ft",Africa - West,"NOV 210' x 80' x 60'; Capacity: 3,500,000 lbs",Samsung Samsung ABS A1 E,"NOV 75.5 in. diameter Model RST-75 1/2 Main Well: Hydraulically driven, 1133mT capacity.  Auxiliary Well: RST-605-F, 907mT capacity, no hydraulic drive.","4 x NOV N14-P-220 Belt driven triplex pumps. Driven by 2(ea) GE AC motors, 2200 HP",Drillship,Marshall Islands,Drilling,Yes,"NOV SSGD-1250-6900-57-100-10.5 6,900 HP",2013,ABS,"Samsung, Geoje, South Korea"
304,GSP,http://www.rigzone.com/data/results.asp?P=1&Region_ID=10,,BoLCtXbc,,--,Hercules 260,Hercules 260,2014-09-18 19:15:55.090026,Rigzone -- full,,Cameroon,http://www.rigzone.com/data/offshore_drilling_rigs/831/Jackup/Hercules_Offshore/Hercules_260,250 ft.,Hercules Offshore,20000 ft.,Jackup,"Varco TDS-4S with one GE 752 hi-torque DC motor, rated to 45,500 ft-lbs, complete with an open-loop colling system, PH-85 pipehandler and dolly retract system",Friede & Goldman L-780 MOD V,--,Africa - West,"Dreco 160' x 40' x 40'; Capacity: 1,600,000 lbs",Friede & Goldman L-780 MOD V,"National Oilwell 49.5 in. diameter hydraulic motor driven, non-drilling","3 x National Oilwell 14-P-200 triplex each driven by two GE752 hi-torque DC traction motors, rated to 7500 psi with plungers and hi-pressure liners, 2000 HP",Jackup,Vanuatu,Ready Stacked,Yes,"National Oilwell E-3000 3,000 HP",1992,ABS,Singapore
305,Hercules Assets LLC,http://www.rigzone.com/data/results.asp?P=1&Region_ID=10,,BoLCtXbc,,--,Hercules 267,Hercules 267,2014-09-18 19:15:55.090026,Rigzone -- full,,Gabon,http://www.rigzone.com/data/offshore_drilling_rigs/483/Jackup/Hercules_Offshore/Hercules_267,250 ft.,Hercules Offshore,20000 ft.,Jackup,"Varco TDS 3HT, 1000 HP",LeTourneau 150-44-C,--,Africa - West,"DTI 142' x 25' x 11'; Capacity: 792,000 lbs",LeTourneau 150-44-C,National 37.5 in. diameter Model C-375 Powered by one GE 752 electric motor from drawworks countershaft,3 x National Oilwell 9-P-100 Triplex; each driven by one GE 752 electric motor,Jackup,Liberia,Ready Stacked,Yes,"National 110-UE 2,000 HP",1979,ABS,"Brownsville, TX"
306,Hercules Offshore,http://www.rigzone.com/data/results.asp?P=1&Region_ID=10,,BoLCtXbc,,--,Hercules Resilience,Hercules Resilience,2014-09-18 19:15:55.090026,Rigzone -- full,,Gabon,http://www.rigzone.com/data/offshore_drilling_rigs/1663/Jackup/Hercules_Offshore/Hercules_Resilience,400 ft.,Hercules Offshore,35000 ft.,Jackup,"Tesco DE 735, 800 HP",LeTourneau Class 82-SD-C,--,Africa - West,"Dreco 147' x 30' x 30'; Capacity: 1,000,000 lbs",LeTourneau Class 82-SD-C,Oilwell 37.5 in. diameter Driven by two 800HP DC motors,"2 x Gardner Denver PZ-11 Triplex; 5000 psi max pressure; 5000 psi standpipe pressure, 1600 HP",Jackup,Liberia,Ready Stacked,Yes,"Mid Continent U-1220-EB 2,000 HP",1980,ABS,Davie Quebec Canada
307,Discovery Offshore S.A.,http://www.rigzone.com/data/results.asp?P=1&Region_ID=10,,BoLCtXbc,,Perenco,Jasper Explorer,Jasper Explorer,2014-09-18 19:15:55.090026,Rigzone -- full,,Congo,http://www.rigzone.com/data/offshore_drilling_rigs/549/Drillship/Jasper_Offshore/Jasper_Explorer,5000 ft.,Jasper Offshore,25000 ft.,Drillship,"NOV TDS-1000, 1150 HP",Keppel Fels Keppel FELS Super A Class,--,Africa - West,"NOV 170' x 40' x 40'; Capacity: 2,000,000 lbs",Keppel Fels Keppel FELS Super A Class,NOV 49.5 in. diameter Model RST,"3 x NOV 14-P-220 7500psi WP, 2200 HP",Jackup,Liberia,Drilling,Yes,"NOV ADS-10Q 4,600 HP",2013,ABS,"KeppelFELS, Singapore"
308,Jasper Explorer Pte Ltd.,http://www.rigzone.com/data/results.asp?P=1&Region_ID=10,,BoLCtXbc,,--,Ben Rinnes,Ben Rinnes,2014-09-18 19:15:55.090026,Rigzone -- full,,Congo,http://www.rigzone.com/data/offshore_drilling_rigs/201/Jackup/KCA_Deutag/Ben_Rinnes,350 ft.,KCA Deutag,30000 ft.,Jackup,"Varco TDS-4 650 tons with high torque GE752 motor., 1110 HP",GustoMSC Upgraded Pelican Class,--,Africa - West,"Aker Solutions 180' x 52' x 52'; Capacity: 1,500,000 lbs",GustoMSC Upgraded Pelican Class,National 49.5 in. diameter,"3 x National Oilwell 12-P-160 Triplex Driven by two GE 752 DC motors, 1600 HP",Drillship,Singapore,Ready Stacked,Yes,"National Oilwell 1625-DE 2,000 HP",1973,DNV,The Netherlands
309,KCA Deutag,http://www.rigzone.com/data/results.asp?P=1&Region_ID=10,,BoLCtXbc,,Sonangol (NOC),Lonestar 203,Lonestar 203,2014-09-18 19:15:55.090026,Rigzone -- full,,Angola,http://www.rigzone.com/data/offshore_drilling_rigs/238/Drill_Barge/Lonestar_Drilling_Nigeria_Ltd/Lonestar_203,125 ft.,Lonestar Drilling Nigeria Ltd.,20000 ft.,Drill Barge,"Varco TDS-8 750 ton, 1150 HP",LeTourneau Marathon LeTourneau 53 Enhanced,--,Africa - West,"Pyramid 160' x 30' x 40'; Capacity: 1,500,000 lbs",LeTourneau Marathon LeTourneau 53 Enhanced,National 37.5 in. diameter Model C-375 Independent Electric Drive,"3 x National 12-P-160 triplex 7500 psi max pressure; 7500 psi standpipe pressure, 1500 HP",Jackup,Panama,Drilling,Yes,"National 1625-DE 3,000 HP",1973,ABS,Clydebank Scotland
310,Lonestar Drilling Nigeria Ltd.,http://www.rigzone.com/data/results.asp?P=1&Region_ID=10,,BoLCtXbc,,--,Lonestar 204,Lonestar 204,2014-09-18 19:15:55.090026,Rigzone -- full,,Nigeria,http://www.rigzone.com/data/offshore_drilling_rigs/239/Drill_Barge/Lonestar_Drilling_Nigeria_Ltd/Lonestar_204,125 ft.,Lonestar Drilling Nigeria Ltd.,20000 ft.,Drill Barge,"",LAKE MARACAIBO,--,Africa - West,"Pyramid 147' x 30' x 30'; Capacity: 1,044,000 lbs",LAKE MARACAIBO,National 27.5 in. diameter Model Independent with 2 speed transmission,"2 x National 12-P-160 triplex, 1600 HP",Drill Barge,Venezuela,Ready Stacked,No,"National 1320-UE 2,000 HP",1994,ABS,Orange TX
311,Lonestar Drilling Nigeria Ltd.,http://www.rigzone.com/data/results.asp?P=1&Region_ID=10,,BoLCtXbc,,--,Lonestar 205,Lonestar 205,2014-09-18 19:15:55.090026,Rigzone -- full,,Nigeria,http://www.rigzone.com/data/offshore_drilling_rigs/78/Inland_Barge/Lonestar_Drilling_Nigeria_Ltd/Lonestar_205,21 ft.,Lonestar Drilling Nigeria Ltd.,20000 ft.,Inland Barge,"",LAKE MARACAIBO,--,Africa - West,"Pyramid 147' x 30' x 30'; Capacity: 1,044,000 lbs",LAKE MARACAIBO,National 27.5 in. diameter Independent with 2 speed transmission,"2 x National 12-P-160 triplex, 1600 HP",Drill Barge,Venezuela,Ready Stacked,No,"National 1320-UE 2,000 HP",1994,ABS,Orange TX
312,Lonestar Drilling Nigeria Ltd.,http://www.rigzone.com/data/results.asp?P=1&Region_ID=10,,BoLCtXbc,,--,Maersk Deliverer,Maersk Deliverer,2014-09-18 19:15:55.090026,Rigzone -- full,,Nigeria,http://www.rigzone.com/data/offshore_drilling_rigs/1430/Semisub/Maersk_Drilling/Maersk_Deliverer,10000 ft.,Maersk Drilling,30000 ft.,Semisub,Varco TDS-5,Far East Levingston,--,Africa - West,"Pyramid 152' x 30' x 30'; Capacity: 1,300,000 lbs",Far East Levingston,National 37.5 in. diameter Model C-375,"2 x National 12-P-160 Triplex, 1600 HP",Inland Barge,Panama,Modification,No,"National 1320-UE 2,000 HP",1983,ABS,"Fels, Singapore"
313,Maersk Drilling,http://www.rigzone.com/data/results.asp?P=1&Region_ID=10,,BoLCtXbc,,Chevron,Maersk Endurer,Maersk Endurer,2014-09-18 19:15:55.090026,Rigzone -- full,,Angola,http://www.rigzone.com/data/offshore_drilling_rigs/429/Jackup/Maersk_Drilling/Maersk_Endurer,350 ft.,Maersk Drilling,25000 ft.,Jackup,"NOV HPS-1000 AUX NOV-HPS-750; 64 ft/lb, 2300 HP",GustoMSC DSS-21,900 ft,Africa - West,"NOV 210'; Capacity: 2,500,000 lbs",GustoMSC DSS-21,NOV 60.5 in. diameter Model RST at main and auxiliary,"4 x Wirth TPK 2200 7500psi WP, 2200 HP",Semisub,"",Drilling,Yes,"Wirth GH6000-EG-AC 4,600 HP",2010,ABS,"Keppel FELS, Singapore"
314,Maersk Drilling,http://www.rigzone.com/data/results.asp?P=1&Region_ID=10,,BoLCtXbc,,Addax Petroleum,Majestic,Majestic,2014-09-18 19:15:55.090026,Rigzone -- full,,Cameroon,http://www.rigzone.com/data/offshore_drilling_rigs/1910/Inland_Barge/Megadrill_Services/Majestic,30 ft.,Megadrill Services,30000 ft.,Inland Barge,Varco TDS-4S 750 ton capacity,Baker Marine Services BMC-350,--,Africa - West,"Derrick Services Limited 160' x 30' x 35'; Capacity: 1,500,000 lbs",Baker Marine Services BMC-350,Continental Emsco 49.5 in. diameter Model T4950-65 Hydraulic driven by on Rexroth motor,"3 x Continental Emsco FC-2200 triplex 15 inch stroke with max 8in liners with V-belt drive system, 2200 HP",Jackup,Singapore,Drilling,Yes,"Continental Emsco C3 211 3,000 HP",1984,ABS,Japan
315,Megadrill Services,http://www.rigzone.com/data/results.asp?P=1&Region_ID=10,,BoLCtXbc,,--,Super Sundowner XVIII,Super Sundowner XVIII,2014-09-18 19:15:55.090026,Rigzone -- full,,Nigeria,http://www.rigzone.com/data/offshore_drilling_rigs/1197/Platform_Rig/Nabors_Offshore/Super_Sundowner_XVIII,"",Nabors Offshore,"",Platform Rig,"","",--,Africa - West,"; Capacity: 2,000,000 lbs","","","2 x, 2200 HP",Inland Barge,Belize,Ready Stacked,No,"",2012,ABS,"Marco Polo Marine, Batam, Indonesia"
316,Nabors International,http://www.rigzone.com/data/results.asp?P=1&Region_ID=10,,BoLCtXbc,,ENI (NOC),Noble Globetrotter II,Noble Globetrotter II,2014-09-18 19:15:55.090026,Rigzone -- full,,Congo,http://www.rigzone.com/data/offshore_drilling_rigs/1623/Drillship/Noble_Drilling/Noble_Globetrotter_II,12000 ft.,Noble Drilling,40000 ft.,Drillship,CanRig 6027E,"",--,Africa - West,"Loadmaster 133'; Capacity: 440,000 lbs","",National 27.5 in. diameter Model C-275,"2 x Gardner Denver PZ-9 Triplex w/ 1 GE 752 DC Motor, 1000 HP",Platform Rig,"",Workover,No,"National 610-E 1,000 HP","","",""
317,Noble Drilling,http://www.rigzone.com/data/results.asp?P=1&Region_ID=10,,BoLCtXbc,,Shell,Energy Searcher,Energy Searcher,2014-09-18 19:15:55.090026,Rigzone -- full,,Gabon,http://www.rigzone.com/data/offshore_drilling_rigs/180/Drillship/Northern_Offshore_Ltd/Energy_Searcher,2500 ft.,Northern Offshore Ltd,25000 ft.,Drillship,"NOV TDS-1000 7500psi WP, 1150 HP",Huisman STX Huisman GT-10000,--,Africa - West,"Huisman 241' x 26' x 24'; Capacity: 2,500,000 lbs",Huisman STX Huisman GT-10000,60 in. diameter,"4 x National 14-P-220, 2200 HP",Drillship,Liberia,Drilling,Yes,"Huisman 6,160 HP",2013,ABS,STX Yard Dalian China / Huisman Netherlands
318,Northern Offshore Ltd,http://www.rigzone.com/data/results.asp?P=1&Region_ID=10,,BoLCtXbc,,CAMAC Energy,OES Integrity,OES Integrity,2014-09-18 19:15:55.090026,Rigzone -- full,,Nigeria,http://www.rigzone.com/data/offshore_drilling_rigs/1607/Inland_Barge/Oando/OES_Integrity,22 ft.,Oando,30000 ft.,Inland Barge,"Maritime Hydraulics PTD-500, 800 HP",Norwegian Rig Consultants,"1,017 ft",Africa - West,"Maritime Hydraulics 160' x 40' x 40'; Capacity: 1,250,000 lbs",Norwegian Rig Consultants,Wirth 49.5 in. diameter Model RTSS Independently powered by GE 752 DC motor,"2 x Gardner Denver PZ-11 Triplex, complete with two GE 752 DC motors, 1600 HP",Drillship,Saint Vincent and the Grenadines,Modification,Yes,"Gardner Denver 3000E 2,000 HP",1982,Lloyds,Hong Kong United Dockyard
